match_id,team_id,team_name,playerId,x,y,shootedBy,bigChance,distance,angle,passes_before,shots_before,shots_by_team_before,isGoal,ft_score,footed
1640676,24,Aston Villa,369813,79.6,38.9,LeftFoot,False,23.51145,20.3079,13,0,4,False,2 : 0,right
1640676,183,Bournemouth,69877,88.9,29.1,RightFoot,True,19.04412,48.57632,16,0,2,False,2 : 0,right
1640676,24,Aston Villa,318449,72.4,40.4,LeftFoot,False,30.17615,13.02308,14,1,5,False,2 : 0,left
1640676,24,Aston Villa,327682,87.8,41.8,LeftFoot,False,14.95917,24.14917,16,0,6,False,2 : 0,left
1640676,24,Aston Villa,369813,75.3,50.1,LeftFoot,False,26.25,0.0,28,1,7,False,2 : 0,right
1640676,24,Aston Villa,134984,70.9,54.6,RightFoot,False,31.61722,4.9352,55,0,8,False,2 : 0,right
1640676,24,Aston Villa,80767,90.7,43.9,Head,False,11.52856,24.38636,40,0,9,False,2 : 0,right
1640676,24,Aston Villa,331790,69.9,51.8,RightFoot,False,32.5571,1.19679,61,0,10,False,2 : 0,right
1640676,183,Bournemouth,136459,87.5,71.9,RightFoot,False,19.75452,46.29215,7,2,3,False,2 : 0,both
1640676,24,Aston Villa,80767,72.5,45.4,RightFoot,False,29.59595,6.59674,48,1,11,False,2 : 0,right
1640676,183,Bournemouth,145277,85.9,39.0,Head,False,17.43597,25.404,25,0,4,False,2 : 0,left
1640676,183,Bournemouth,133190,90.3,57.3,Head,False,11.52856,24.38636,18,0,5,True,2 : 0,right
1640676,24,Aston Villa,337883,75.8,51.5,RightFoot,False,26.25881,1.4839,3,0,12,False,2 : 0,right
1640676,24,Aston Villa,322043,81.7,28.3,LeftFoot,False,24.936,36.8653,66,0,13,False,2 : 0,right
1640676,24,Aston Villa,318449,71.9,35.5,LeftFoot,False,32.11296,18.51958,50,2,14,False,2 : 0,left
1640677,161,Wolves,300513,72.1,51.2,RightFoot,False,29.40786,1.32497,1,0,0,False,2 : 1,right
1640677,161,Wolves,300513,90.4,48.2,RightFoot,False,10.58771,7.38008,2,1,1,True,2 : 1,right
1640677,19,Leeds,371012,81.3,37.5,LeftFoot,False,21.82082,23.8985,6,0,0,False,2 : 1,right
1640677,19,Leeds,109670,71.9,33.6,LeftFoot,False,32.57048,20.7887,5,0,1,False,2 : 1,left
1640677,19,Leeds,315275,73.9,57.7,LeftFoot,False,28.74683,9.53113,10,0,2,False,2 : 1,right
1640677,161,Wolves,262854,88.9,37.3,LeftFoot,False,15.39174,35.05301,3,0,0,False,2 : 1,
1640677,19,Leeds,83459,94.2,31.0,RightFoot,False,14.37416,64.00537,9,0,3,True,2 : 1,right
1640677,19,Leeds,83459,77.1,51.9,LeftFoot,False,24.15957,1.61287,9,0,0,False,2 : 1,right
